,Cueanexo,id_depto,Nombre
0,60014600,6568,ESCUELA DE EDUCACIÓN PRIMARIA Nº105 REPUBLICA DE ITALIA
1,60018300,6371,JARDÍN DE INFANTES Nº928 SUYAY
2,60021000,6357,INSTITUTO SUPERIOR DE ESTUDIOS TECNICOS
3,60021500,6840,JARDÍN SAN MIGUEL GARICOITS
4,60045500,6063,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 ANTONIO GONZALEZ BALCARCE
5,60047700,6410,JARDÍN DE INFANTES SANTA RAFAELA MARIA
6,60064800,6655,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 FLORENTINO AMEGHINO
7,60070400,6791,ESCUELA DE EDUCACIÓN PRIMARIA Nº18 JUAN JOSÉ PASO
8,60120200,6651,CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°451
9,60124900,6854,CENTRO DE ADULTOS Nº702 ISLAS MALVINAS
10,60132300,6805,JARDÍN DE INFANTES TERRY
11,60134300,6007,CENTRO DE ADULTOS Nº703 ALFONSINA STORNI
12,60147400,6623,ESCUELA DE EDUCACIÓN PRIMARIA Nº11 JUAN JOSÉ PASO
13,60166300,6490,COLEGIO NUESTRA SEÑORA DEL ROSARIO
14,60168900,6182,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 LEONARDO ROSALES
15,60186100,6875,JARDÍN DE INFANTES Nº906 ANTONIO ODRIOZOLA
16,60189300,6028,JARDÍN DE INFANTES Nº917
17,60202000,6658,ESCUELA DE EDUCACIÓN PRIMARIA Nº41
18,60202100,6658,ESCUELA DE EDUCACIÓN PRIMARIA Nº43 JUAN MANTOVANI
19,60222600,6623,JARDÍN DE INFANTES Nº922 DR. J. V. GONZALEZ
20,60240300,6490,JARDÍN DE INFANTES CAMINITO DE COLORES
21,60333600,6413,ESCUELA ESPECIAL Nº502 MERCEDES DE SAN MARTIN
22,60343600,6595,JARDÍN DE INFANTES Nº915 ROTARY CLUB OLAVARRIA P. NUEVO
23,60353900,6448,ESCUELA DE EDUCACIÓN PRIMARIA Nº19 ANTARTIDA ARGENTINA
24,60354900,6469,JARDÍN DE INFANTES Nº902 SARA CHAMBERLAIN DE ECCLESTON
25,60504500,6049,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 FLORENTINO AMEGHINO
26,60506200,6412,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2
27,60511700,6182,JARDÍN DE INFANTES Nº915 PEHUEN CO
28,60514200,6595,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 INDEPENDENCIA ARGENTINA
29,60522800,6840,SECUNDARIO CIUDAD JARDIN
30,60545300,6742,ESCUELA DE EDUCACIÓN PRIMARIA Nº9 DOMINGO FAUSTINO SARMIENTO
31,60605700,6833,JARDÍN DE INFANTES Nº908
32,60649100,6028,JARDÍN DE INFANTES Nº912 JESUS REY VILLAMIL
33,60654200,6665,ESCUELA ESPECIAL Nº501 DIONISIO G. DE KEREVENANT
34,60689700,6161,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 HIPOLITO YRIGOYEN
35,60724800,6882,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 MARIA LUISA LUCHILLO DE BUTTRI
36,60798700,6518,JARDÍN DE INFANTES Nº901 LUISA Y. COLALILLO DE D'AMELIO
37,60808400,6035,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 JORGE NEWBERY
38,60823000,6490,ESCUELA DE EDUCACIÓN PRIMARIA Nº83
39,60827600,6056,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 NUESTRA SEÑORA DE LA MERCED
40,60833000,6427,COLEGIO JUAN DE GARAY
41,60878700,6098,INSTITUTO SAN FRANCISCO DE ASIS
42,60899400,6441,INSTITUTO SUPERIOR DE FORMACION TÉCNICA Nº12
43,60913600,6357,ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 JOSÉ HERNANDEZ
44,60933000,6539,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5
45,60935900,6539,ESCUELA DE EDUCACIÓN PRIMARIA Nº38 INGENIEROS CAMILO Y ADRIANO OLIVETTI
46,60959300,6532,ESCUELA DE ADULTOS Nº702
47,60970500,6413,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 SARGENTO CABRAL
48,60979600,6371,CENTRO EDUCATIVO NIVEL SECUNDARIO Nº455 ROBERTO CLEMENTE
49,60981600,6515,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 25 DE MAYO
50,61002400,6035,JARDÍN MUNICIPAL Nº18 ALFONSINA STORNI
51,61056000,6658,JARDÍN DE INFANTES Nº903 ALMAFUERTE
52,61084800,6539,COLEGIO ELVIRA SULLIVAN
53,61105402,6760,CENTRO DE ADULTOS Nº706
54,61116000,6568,ESCUELA DE EDUCACIÓN PRIMARIA Nº102 PROVINCIA DE TUCUMAN
55,61132400,6007,CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°451
56,61133300,6749,JARDÍN DE INFANTES SAN PABLO
57,61158300,6315,JARDÍN DE INFANTES Nº904
58,61176400,6547,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 MARIANO MORENO
59,61187200,6427,ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 JUVENTUD ORGANIZADA DE DORREGO
60,61262500,6638,INSTITUTO NUESTRA SEÑORA DE FATIMA
61,61295100,6091,JARDÍN DE INFANTES FLORENTINO AMEGHINO
62,61304700,6056,JARDÍN DE INFANTES Nº946 TAMBOR DE TACUARI
63,61334800,6539,INSTITUTO MERLO
64,61344400,6270,JARDÍN DE INFANTES Nº913
65,61368500,6274,JARDÍN DE INFANTES Nº917
66,61460600,6408,JARDÍN MUNICIPAL Nº06 ARROZ CON LECHE
67,61495600,6260,JARDÍN DE INFANTES Nº930
68,61536100,6756,ESCUELA DE PSICOLOGIA SOCIAL SAN ISIDRO
69,61580000,6490,INSTITUTO SUP. SAN AGUSTIN
70,61638400,6700,CENTRO DE EDUCACION FÍSICA Nº83
71,61648700,6665,CENTRO EDUCATIVO COMPLEMENTARIO Nº1
72,61692400,6427,MUNICIPAL Nº13 PLANETA CUADRILLE
73,61702700,6134,INSTITUTO LAS CAÑUELAS
74,61735800,6413,ESCUELA DE EDUCACIÓN SECUNDARIA Nº20
75,61738900,6260,ESCUELA DE EDUCACIÓN SECUNDARIA Nº33
76,61808800,6274,ESCUELA DE EDUCACIÓN SECUNDARIA Nº51
77,61859900,6028,ESCUELA DE EDUCACIÓN SECUNDARIA Nº74
78,61866500,6515,ESCUELA DE EDUCACIÓN SECUNDARIA Nº31
79,61871000,6532,ESCUELA DE EDUCACIÓN SECUNDARIA Nº12
80,61898000,6441,ESCUELA DE EDUCACIÓN SECUNDARIA Nº56
81,61899300,6760,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17
82,61906400,6760,JESUS MARIA
83,61909800,6539,JARDÍN DE INFANTES Nº949 MARIA TERESA TROTTA
84,61966200,6434,COLEGIO LA ASUNCION
85,62007200,6392,ESCUELA PRIMARIA BASICA Nº45 LAGUNA LANGHELO
86,62035700,6658,JARDÍN DE INFANTES Nº961
87,62085000,6644,JARDÍN DE INFANTES Nº906 LOS HIJOS DEL SOL
88,62090800,6351,ESCUELA DE EDUCACION ESTETICA
89,62122200,6609,ESCUELA DE EDUCACIÓN PRIMARIA Nº6
90,62126600,6588,JARDÍN DE INFANTES RURAL Nº4
91,62136900,6679,JARDÍN DE INFANTES RURAL Nº2 SAN MAURICIO
92,62143100,6707,JARDÍN DE INFANTES RURAL Nº5 RAFAEL I. ZAMORANO
93,62147500,6277,JARDÍN DE INFANTES RURAL Nº1
94,62166600,6315,JARDÍN DE INFANTES RURAL Nº6
95,62168900,6700,JARDÍN DE INFANTES RURAL Nº5
96,62219100,6364,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4
97,62222700,6371,INSTITUTO NUESTRA SEÑORA DE LA MERCED
98,62231700,6515,INSTITUTO ALFONSINA STORNI
99,62272400,6595,JARDÍN SANTA TERESA
100,62273100,6091,ESCUELA DE EDUCACIÓN SECUNDARIA Nº24
101,62345100,6238,CENTRO EDUCATIVO DE NIVEL SECUNDARIO PARA ADULTOS Nº451
102,62384000,6441,INSTITUTO DE FORMACIÓN LABORAL
103,100036600,10014,ESCUELA N° 262 JOSÉ LISANDRO ARGAÑARAZ
104,100039700,10035,ESCUELA N° 355  DR. SEGUNDO ENRIQUE MUÑÍZ
105,100081504,10042,JIN N°29 - ANEXO 04 EN ESCUELA N° 25
106,140023800,14042,J.DE INF. ARTURO CAPDEVILA
107,140092300,14140,J.DE INF. PRESIDENTE HIPOLITO YRIGOYEN
108,140131201,14042,C.E.N.M.A. Nº 96 - ANEXO TIO PUJIO
109,140150900,14133,I.P.E.M. Nº 31 PADRE BROCHERO
110,140179700,14098,ESCUELA CAPITAN DE NAVIO SANTIAGO J. ALBARRACIN
111,140224700,14021,COLEGIO JESUS MARIA
112,140225700,14014,COLEGIO INSTITUCION JOSE PEÑA
113,140262602,14091,ESCUELA NOCTURNA JOSE INGENIEROS ANEXO N° 3 JUAN BAUTISTA AZOPARDO
114,140279902,14098,J.DE INF. JOSE DE SAN MARTIN - ANEXO EST. CAROLINA
115,140288213,14014,C.E.N.M.A. Nº 111 ANEXO BARRIO OÑA
116,140349702,14126,I.P.E.M. N° 135 DON JOSE FELIX RECALDE SARMIENTO-ANEXO LAS RABONAS
117,140351500,14126,INSTITUTO TECNICO CRISTO OBRERO
118,140378700,14105,J.DE INF. MARIANO FRAGUEIRO
119,140383100,14028,JUAN IGNACIO GORRITI
120,140385700,14028,J.DE INF. MANUEL BELGRANO
121,140412300,14119,ESCUELA JERONIMO LUIS DE CABRERA
122,140443600,14098,PROFESORADO EN CIENCIA SAGRADA JESUS BUEN PASTOR
123,140487500,14147,COLEGIO CORAZON INMACULADO DE MARIA
124,140509900,14014,INSTITUTO SUPERIOR COMODORO SALUSTIANO PEREZ ESTEVEZ
125,140524500,14014,J.DE INF. FRANCISCO LUIS BERNARDEZ
126,140546806,14014,CENTRO DE CAPACITACION LABORAL Y FORMACION PROFESIONAL CORDOBA ANEXO EXTENSION AULICA BARRIO ROGELIO MARTINEZ
