,nro_conabip,mail
0,200,No posee mail
1,1062,bipobrchaves@yahoo.com.ar
2,3792,bpmgandhi@tutopia.com
3,3952,bib_manuelbelgrano_glew@yahoo.com.ar
4,3841,atahualpa1999@gmail.com
5,3950,No posee mail
6,2296,bibpopularmitre@yahoo.com.ar
7,3063,spebpop@gmail.com
8,3561,bipopalacios@yahoo.com.ar
9,4192,bsfsarmiento1925@yahoo.com.ar
10,3193,No posee mail
11,111,No posee mail
12,2068,bibliochillar@yahoo.com.ar
13,1663,bibliotecabmitre@yahoo.com.ar
14,4137,simonrodriguezbiblioteca@gmail.com
15,2871,No posee mail
16,3718,No posee mail
17,2688,bibmitre@yahoo.com.ar
18,1280,bpmbelgrano@hotmail.com
19,4169,ranelaghbibliocampo@yahoo.com.ar
20,2082,No posee mail
21,2473,bibliotecaguiraldes@yahoo.com.ar
22,1857,No posee mail
23,258,sanjose@servicoopsa.com.ar
24,1381,No posee mail
25,3890,bibliotecaipora2000@yahoo.com.ar
26,3591,glabuscfliawach@gmail.com
27,1770,bibjbalberdi@gmail.com
28,3364,nancy_flo@hotmail.com
29,167,No posee mail
30,861,alberdibiblio@yahoo.com.ar
31,2843,bibliotecaameghino@gmail.com
32,1733,No posee mail
33,3522,No posee mail
34,1707,No posee mail
35,4119,No posee mail
36,3292,bibliotecaglavalle@hotmail.com
37,2697,No posee mail
38,3476,No posee mail
39,3836,No posee mail
40,4122,No posee mail
41,4349,No posee mail
42,3925,No posee mail
43,4177,bpaliciatmorales_garre@yahoo.com.ar
44,2998,No posee mail
45,1248,bibliopopalmafuerte@yahoo.com.ar
46,1809,biblioteca9dejulio@gmail.com
47,4389,piosoberanobibliotecapopular@gmail.com
48,3928,No posee mail
49,1973,No posee mail
50,3717,bib.homeromanzi@gmail.com
51,3786,No posee mail
52,4376,lagrietaylachicharra@gmail.com
53,249,No posee mail
54,3448,No posee mail
55,4021,No posee mail
56,3649,No posee mail
57,4135,bibliotecapopularmontechingolo@gmail.com
58,2676,balberdiescalada@gmail.com
59,2767,bibliotecabarriocanal@yahoo.com.ar
60,2872,bibvedia@yahoo.com.ar
61,2366,No posee mail
62,2729,bibliosalas@yahoo.com.ar
63,3865,No posee mail
64,173,bibliotecamentruytespectaculos@gmail.com
65,3182,No posee mail
66,1257,bibliotecaopendoor@hotmail.com
67,4219,bpegirardengo@gmail.com
68,3668,monbe3@hotmail.com
69,4151,No posee mail
70,1998,bibliopop.gsm@gmail.com
71,194,biblsarmiento_mercedes@hotmail.com
72,4199,No posee mail
73,3805,No posee mail
74,2673,bibliotecambon@live.com.ar
75,3944,No posee mail
76,3248,bphoracioquiroga@hotmail.com
77,2804,bibliopop.pasodelrey@hotmail.es
78,1391,No posee mail
79,2277,No posee mail
80,4371,No posee mail
81,4384,delotroladodelarbolenolavarria@gmail.com
82,1246,bibpopcervantes@yahoo.com.ar
83,2646,bibliotecamadero@live.com.ar
84,4344,biblioteca.palabrasdelalma@gmail.com
85,3912,No posee mail
86,4222,bibliotecapopularsur@yahoo.com.ar
87,2158,No posee mail
88,3752,bastorni@yahoo.com.ar
89,2788,bibliotecapopularpedrogoyena@yahoo.com.ar
90,3040,No posee mail
91,2554,No posee mail
92,3794,No posee mail
93,262,No posee mail
94,236,biblioteca_jbalberdi@yahoo.com.ar
95,232,No posee mail
96,2115,No posee mail
97,3790,No posee mail
98,4030,No posee mail
99,4188,bpcavajoven@yahoo.com.ar
100,1242,bpalberdi@gmail.com
101,1178,bibliotecarivadavia@yahoo.es
102,3473,chapmaris@hotmail.com
103,3728,No posee mail
104,3644,bphmunzon@hotmail.com
105,4212,bpelfaro@gmail.com
106,1627,No posee mail
107,240,bpbrtandil@hotmail.com
