,Cueanexo,nivel
0,20005500,Nivel inicial - Jardín de infantes
1,20008700,Nivel inicial - Jardín de infantes
2,20010200,Nivel inicial - Jardín de infantes
3,20017702,Nivel inicial - Jardín de infantes
4,20018701,Nivel inicial - Jardín de infantes
5,20018800,Nivel inicial - Jardín de infantes
6,20022003,Nivel inicial - Jardín de infantes
7,20022300,Nivel inicial - Jardín de infantes
8,20023400,Nivel inicial - Jardín de infantes
9,20041200,Nivel inicial - Jardín de infantes
10,20042800,Nivel inicial - Jardín de infantes
11,20044402,Nivel inicial - Jardín de infantes
12,20048600,Nivel inicial - Jardín de infantes
13,20049300,Nivel inicial - Jardín de infantes
14,20052100,Nivel inicial - Jardín de infantes
15,20056100,Nivel inicial - Jardín de infantes
16,20057100,Nivel inicial - Jardín de infantes
17,20058800,Nivel inicial - Jardín de infantes
18,20063000,Nivel inicial - Jardín de infantes
19,20063200,Nivel inicial - Jardín de infantes
20,20066600,Nivel inicial - Jardín de infantes
21,20068400,Nivel inicial - Jardín de infantes
22,20068500,Nivel inicial - Jardín de infantes
23,20069900,Nivel inicial - Jardín de infantes
24,20071600,Nivel inicial - Jardín de infantes
25,20073700,Nivel inicial - Jardín de infantes
26,20073800,Nivel inicial - Jardín de infantes
27,20074900,Nivel inicial - Jardín de infantes
28,20084802,Nivel inicial - Jardín de infantes
29,20087202,Nivel inicial - Jardín de infantes
30,20091400,Nivel inicial - Jardín de infantes
31,20095600,Nivel inicial - Jardín de infantes
32,20096000,Nivel inicial - Jardín de infantes
33,20099000,Nivel inicial - Jardín de infantes
34,20100100,Nivel inicial - Jardín de infantes
35,20105801,Nivel inicial - Jardín de infantes
36,20127802,Nivel inicial - Jardín de infantes
37,20140300,Nivel inicial - Jardín de infantes
38,20144000,Nivel inicial - Jardín de infantes
39,20147801,Nivel inicial - Jardín de infantes
40,20153800,Nivel inicial - Jardín de infantes
41,20154501,Nivel inicial - Jardín de infantes
42,20158702,Nivel inicial - Jardín de infantes
43,20159500,Nivel inicial - Jardín de infantes
44,20165301,Nivel inicial - Jardín de infantes
45,20167500,Nivel inicial - Jardín de infantes
46,20180900,Nivel inicial - Jardín de infantes
47,20182200,Nivel inicial - Jardín de infantes
48,20185200,Nivel inicial - Jardín de infantes
49,20186900,Nivel inicial - Jardín de infantes
50,20188200,Nivel inicial - Jardín de infantes
51,20188700,Nivel inicial - Jardín de infantes
52,20204200,Nivel inicial - Jardín de infantes
53,20220500,Nivel inicial - Jardín de infantes
54,20246900,Nivel inicial - Jardín de infantes
55,20248800,Nivel inicial - Jardín de infantes
56,20282500,Nivel inicial - Jardín de infantes
57,20291500,Nivel inicial - Jardín de infantes
58,20295000,Nivel inicial - Jardín de infantes
59,20306100,Nivel inicial - Jardín de infantes
60,20309100,Nivel inicial - Jardín de infantes
61,20318300,Nivel inicial - Jardín de infantes
62,60007500,Nivel inicial - Jardín de infantes
63,60013600,Nivel inicial - Jardín de infantes
