Provincia,BP,BP cada 100k habitantes,EE,EE cada 100k habitantes,Población
Buenos Aires,492.0,2.83,15526.0,89.18,17408906.0
Córdoba,158.0,4.14,4324.0,113.43,3812064.0
Santa Fe,241.0,6.85,3346.0,95.08,3519059.0
Ciudad de Buenos Aires,43.0,1.39,1552.0,50.14,3095454.0
Mendoza,68.0,3.35,1515.0,74.6,2030773.0
Tucumán,38.0,2.2,1423.0,82.38,1727337.0
Salta,62.0,4.32,1188.0,82.83,1434225.0
Entre Ríos,62.0,4.38,2012.0,142.18,1415097.0
Misiones,41.0,3.22,2357.0,185.1,1273347.0
Corrientes,55.0,4.55,1603.0,132.52,1209671.0
Chaco,69.0,6.14,2034.0,180.86,1124603.0
Santiago del Estero,67.0,6.33,2079.0,196.55,1057752.0
San Juan,55.0,6.71,977.0,119.23,819445.0
Jujuy,40.0,4.94,824.0,101.81,809364.0
Río Negro,64.0,8.56,816.0,109.14,747697.0
Neuquén,68.0,9.6,645.0,91.03,708578.0
Formosa,23.0,3.8,1254.0,207.1,605507.0
Chubut,47.0,7.97,609.0,103.32,589454.0
San Luis,45.0,8.32,615.0,113.77,540548.0
Catamarca,37.0,8.65,961.0,224.73,427625.0
La Rioja,22.0,5.75,657.0,171.79,382453.0
La Pampa,72.0,20.04,511.0,142.26,359193.0
Santa Cruz,19.0,5.66,278.0,82.82,335677.0
Tierra del Fuego,9.0,4.73,131.0,68.78,190455.0
