Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,La Matanza,325.0,87162.0,333.0,193043.0,335.0,184423.0
Buenos Aires,La Plata,215.0,29260.0,199.0,66893.0,206.0,65622.0
Buenos Aires,Lomas de Zamora,160.0,28806.0,178.0,65571.0,191.0,65827.0
Buenos Aires,General Pueyrredón,177.0,23100.0,169.0,53294.0,170.0,56683.0
Buenos Aires,Quilmes,160.0,26975.0,146.0,60261.0,153.0,60966.0
Buenos Aires,Almirante Brown,132.0,25188.0,137.0,58015.0,145.0,58563.0
Buenos Aires,Moreno,118.0,28521.0,134.0,65328.0,134.0,61696.0
Buenos Aires,Merlo,110.0,27105.0,120.0,61148.0,124.0,60384.0
Buenos Aires,Lanús,118.0,16028.0,116.0,37841.0,114.0,39732.0
Buenos Aires,Tigre,121.0,18454.0,111.0,44078.0,109.0,45768.0
Buenos Aires,Pilar,105.0,18864.0,109.0,42505.0,102.0,42147.0
Buenos Aires,Florencio Varela,97.0,24703.0,98.0,55183.0,102.0,53050.0
Buenos Aires,General San Martín,99.0,15897.0,96.0,38161.0,95.0,39283.0
Buenos Aires,Bahía Blanca,93.0,12522.0,94.0,29136.0,81.0,28181.0
Buenos Aires,Avellaneda,118.0,13168.0,93.0,31635.0,78.0,32280.0
Buenos Aires,Berazategui,100.0,14843.0,92.0,35310.0,96.0,35813.0
Buenos Aires,San Miguel,85.0,13979.0,92.0,31904.0,96.0,30659.0
Buenos Aires,Morón,95.0,10346.0,90.0,24608.0,86.0,26309.0
Buenos Aires,San Isidro,92.0,9488.0,90.0,22338.0,88.0,24711.0
Buenos Aires,Tres de Febrero,104.0,12280.0,87.0,28750.0,82.0,29762.0
Buenos Aires,Malvinas Argentinas,78.0,14565.0,81.0,34313.0,86.0,35116.0
Buenos Aires,Vicente López,84.0,8348.0,76.0,19249.0,69.0,21024.0
Buenos Aires,Escobar,76.0,12294.0,75.0,27457.0,76.0,26051.0
Buenos Aires,Olavarría,58.0,4840.0,73.0,11123.0,42.0,11482.0
Buenos Aires,Esteban Echeverría,71.0,15490.0,71.0,35257.0,72.0,34376.0
Buenos Aires,José C. Paz,55.0,16399.0,62.0,36232.0,62.0,34625.0
Buenos Aires,Tandil,58.0,5517.0,60.0,12620.0,40.0,12661.0
Buenos Aires,San Nicolás,49.0,6938.0,56.0,15253.0,50.0,15389.0
Buenos Aires,Pergamino,50.0,4820.0,56.0,10471.0,39.0,10572.0
Buenos Aires,Azul,36.0,3086.0,55.0,7022.0,27.0,7110.0
Buenos Aires,San Fernando,64.0,6594.0,55.0,15307.0,48.0,15396.0
Buenos Aires,Necochea,38.0,3905.0,51.0,9031.0,36.0,9308.0
Buenos Aires,Chivilcoy,33.0,2733.0,50.0,6129.0,22.0,6490.0
Buenos Aires,Luján,52.0,4701.0,49.0,10571.0,37.0,10397.0
Buenos Aires,25 de Mayo,35.0,1498.0,47.0,3189.0,17.0,3305.0
Buenos Aires,Junín,42.0,4127.0,46.0,8925.0,34.0,8854.0
