Provincia,Departamento,Cantidad de BP fundadas desde 1950
Buenos Aires,Avellaneda,9.0
Buenos Aires,Florencio Varela,9.0
Buenos Aires,Quilmes,8.0
Buenos Aires,Olavarría,8.0
Buenos Aires,Lanús,7.0
Buenos Aires,Tres Arroyos,6.0
Buenos Aires,La Costa,6.0
Buenos Aires,General Pueyrredón,5.0
Buenos Aires,Vicente López,5.0
Buenos Aires,San Isidro,5.0
Buenos Aires,San Fernando,5.0
Buenos Aires,Berazategui,5.0
Buenos Aires,Guaminí,5.0
Buenos Aires,Malvinas Argentinas,5.0
Buenos Aires,Pilar,5.0
Buenos Aires,General Villegas,4.0
Buenos Aires,Merlo,4.0
Buenos Aires,Ramallo,4.0
Buenos Aires,Lincoln,3.0
Buenos Aires,Villarino,3.0
Buenos Aires,General Pinto,3.0
Buenos Aires,Tornquist,3.0
Buenos Aires,Carlos Casares,3.0
Buenos Aires,Coronel de Marina Leonardo Rosales,3.0
Buenos Aires,Necochea,3.0
Buenos Aires,San Miguel,3.0
Buenos Aires,Luján,2.0
Buenos Aires,Monte,2.0
Buenos Aires,San Antonio de Areco,2.0
Buenos Aires,Pinamar,2.0
Buenos Aires,Leandro N. Alem,2.0
Buenos Aires,Coronel Suárez,2.0
Buenos Aires,Ezeiza,2.0
Buenos Aires,Brandsen,2.0
Buenos Aires,Esteban Echeverría,2.0
Buenos Aires,General Alvarado,2.0
Buenos Aires,Bragado,2.0
Buenos Aires,Pehuajó,2.0
Buenos Aires,Ensenada,2.0
Buenos Aires,Tres de Febrero,2.0
Buenos Aires,Villa Gesell,2.0
Buenos Aires,Puan,2.0
Buenos Aires,Morón,2.0
Buenos Aires,Berisso,2.0
Buenos Aires,Hurlingham,2.0
Buenos Aires,La Plata,15.0
Buenos Aires,La Matanza,15.0
Buenos Aires,Moreno,13.0
Buenos Aires,Bahía Blanca,12.0
Buenos Aires,Tigre,12.0
Buenos Aires,Tandil,10.0
Buenos Aires,Almirante Brown,10.0
Buenos Aires,General San Martín,10.0
Buenos Aires,Lomas de Zamora,10.0
Buenos Aires,Cañuelas,1.0
Buenos Aires,Tapalqué,1.0
Buenos Aires,Lobería,1.0
Buenos Aires,Rivadavia,1.0
Buenos Aires,San Cayetano,1.0
Buenos Aires,Junín,1.0
Buenos Aires,Magdalena,1.0
Buenos Aires,9 de Julio,1.0
Buenos Aires,Saladillo,1.0
Buenos Aires,General Guido,1.0
Buenos Aires,Salto,1.0
Buenos Aires,Tordillo,1.0
Buenos Aires,Maipú,1.0
Buenos Aires,Campana,1.0
Buenos Aires,Lobos,1.0
Buenos Aires,Ituzaingó,1.0
Buenos Aires,Coronel Dorrego,1.0
Buenos Aires,General Lavalle,1.0
Buenos Aires,Mar Chiquita,1.0
Buenos Aires,Navarro,1.0
Buenos Aires,Baradero,1.0
Buenos Aires,San Nicolás,1.0
Buenos Aires,Monte Hermoso,1.0
Buenos Aires,General Arenales,1.0
Buenos Aires,Rauch,1.0
Buenos Aires,Bolívar,1.0
Buenos Aires,San Andrés de Giles,1.0
Buenos Aires,General Viamonte,1.0
Buenos Aires,Trenque Lauquen,0.0
Buenos Aires,Rojas,0.0
Buenos Aires,Chivilcoy,0.0
Buenos Aires,General La Madrid,0.0
Buenos Aires,Marcos Paz,0.0
Buenos Aires,Ayacucho,0.0
Buenos Aires,San Pedro,0.0
Buenos Aires,Benito Juárez,0.0
Buenos Aires,General Rodríguez,0.0
Buenos Aires,Adolfo Gonzales Chaves,0.0
Buenos Aires,Colón,0.0
Buenos Aires,Hipólito Yrigoyen,0.0
Buenos Aires,Coronel Pringles,0.0
Buenos Aires,Tres Lomas,0.0
Buenos Aires,Arrecifes,0.0
Buenos Aires,Dolores,0.0
Buenos Aires,Capitán Sarmiento,0.0
Buenos Aires,Mercedes,0.0
Buenos Aires,Las Flores,0.0
Buenos Aires,Patagones,0.0
Buenos Aires,General Alvear,0.0
Buenos Aires,Adolfo Alsina,0.0
Buenos Aires,Escobar,0.0
Buenos Aires,San Vicente,0.0
Buenos Aires,Saavedra,0.0
Buenos Aires,General Las Heras,0.0
Buenos Aires,Chacabuco,0.0
Buenos Aires,Carlos Tejedor,0.0
Buenos Aires,Laprida,0.0
Buenos Aires,Roque Pérez,0.0
Buenos Aires,Suipacha,0.0
Buenos Aires,Zárate,0.0
Buenos Aires,Balcarce,0.0
Buenos Aires,Carmen de Areco,0.0
Buenos Aires,Azul,0.0
Buenos Aires,General Juan Madariaga,0.0
Buenos Aires,25 de Mayo,0.0
Buenos Aires,Castelli,0.0
Buenos Aires,Punta Indio,0.0
Buenos Aires,Alberti,0.0
Buenos Aires,Pergamino,0.0
Buenos Aires,Pellegrini,0.0
Buenos Aires,Salliqueló,0
Buenos Aires,General Paz,0
Buenos Aires,Pila,0
Buenos Aires,Chascomús,0
Buenos Aires,Exaltación de la Cruz,0
Buenos Aires,Presidente Perón,0
Buenos Aires,Lezama,0
Buenos Aires,General Belgrano,0
Buenos Aires,Florentino Ameghino,0
Buenos Aires,Daireaux,0
Buenos Aires,José C. Paz,0
Catamarca,Fray Mamerto Esquiú,4.0
Catamarca,Valle Viejo,4.0
Catamarca,Santa Rosa,3.0
Catamarca,Belén,3.0
Catamarca,Capital,3.0
Catamarca,Capayán,3.0
Catamarca,La Paz,2.0
Catamarca,Pomán,2.0
Catamarca,Paclín,1.0
Catamarca,El Alto,1.0
Catamarca,Ambato,1.0
Catamarca,Andalgalá,0.0
Catamarca,Tinogasta,0.0
Catamarca,Santa María,0.0
