Provincia,Departamento,Cant_BP,Cant_EE,Población
Ciudad de Buenos Aires,CABA,43,1552,3095454.0
Córdoba,Capital,20,1054,1498060.0
Buenos Aires,La Matanza,16,957,1837168.0
Santa Fe,Rosario,39,742,1337958.0
Buenos Aires,La Plata,33,604,756074.0
Buenos Aires,Lomas de Zamora,12,518,685644.0
Buenos Aires,General Pueyrredón,6,499,660569.0
Buenos Aires,Quilmes,9,448,631774.0
Santa Fe,La Capital,23,420,568259.0
Entre Ríos,Paraná,11,415,388716.0
Buenos Aires,Almirante Brown,11,409,583209.0
Chaco,San Fernando,31,397,413764.0
Tucumán,Capital,10,366,587289.0
Buenos Aires,Moreno,16,360,575758.0
Río Negro,General Roca,29,354,379627.0
Buenos Aires,Lanús,13,347,460081.0
Córdoba,San Justo,20,345,228951.0
Buenos Aires,Merlo,4,344,581484.0
Chaco,General Güemes,1,337,68429.0
Buenos Aires,Tigre,13,331,446291.0
Córdoba,Río Cuarto,16,325,277979.0
Neuquén,Confluencia,40,315,467217.0
Buenos Aires,Pilar,6,295,393614.0
Buenos Aires,Florencio Varela,10,288,488103.0
Buenos Aires,Avellaneda,15,283,366117.0
Buenos Aires,General San Martín,14,281,444503.0
Misiones,Capital,7,279,391498.0
Buenos Aires,Berazategui,6,278,358328.0
Salta,Capital,27,267,624003.0
Santiago del Estero,Capital,26,265,328824.0
Buenos Aires,Bahía Blanca,15,264,334505.0
Buenos Aires,Morón,2,263,329517.0
Buenos Aires,Tres de Febrero,9,262,362319.0
Buenos Aires,San Isidro,7,257,295978.0
Buenos Aires,San Miguel,4,255,327650.0
Misiones,Oberá,3,254,120703.0
Santa Fe,General Obligado,14,253,197533.0
Corrientes,Capital,15,247,437446.0
Córdoba,Colón,11,247,294511.0
Santa Fe,Castellanos,21,240,189464.0
Misiones,Guaraní,2,240,77075.0
Formosa,Formosa,8,231,268572.0
Santa Fe,General López,21,229,200455.0
Formosa,Pirané,3,229,72560.0
Buenos Aires,Malvinas Argentinas,5,225,349401.0
Jujuy,Dr. Manuel Belgrano,7,217,319469.0
Buenos Aires,Vicente López,6,216,280541.0
Buenos Aires,Escobar,2,212,256071.0
Mendoza,San Rafael,14,211,213204.0
Santiago del Estero,Banda,13,211,170401.0
Buenos Aires,Esteban Echeverría,3,206,337880.0
Formosa,Patiño,2,205,81600.0
Santa Fe,Las Colonias,18,194,114730.0
Córdoba,Punilla,12,193,219494.0
Misiones,Cainguás,3,192,59875.0
Córdoba,Unión,7,188,113635.0
Santa Fe,San Cristóbal,11,178,72593.0
Entre Ríos,Concordia,5,175,197603.0
La Rioja,Capital,6,174,210507.0
Misiones,General Manuel Belgrano,2,173,45456.0
San Luis,Juan Martín de Pueyrredón,10,171,260769.0
Entre Ríos,Gualeguaychú,8,171,125176.0
Buenos Aires,José C. Paz,0,171,326527.0
Buenos Aires,Olavarría,11,169,122011.0
Chubut,Escalante,7,169,214829.0
Mendoza,Guaymallén,5,169,320871.0
Formosa,Pilcomayo,8,167,94116.0
Buenos Aires,San Fernando,7,164,171099.0
Córdoba,General San Martín,8,160,152397.0
Córdoba,Santa María,8,160,139012.0
Misiones,San Ignacio,2,160,63194.0
Buenos Aires,Tandil,14,158,144678.0
Corrientes,Goya,3,158,106223.0
Córdoba,Río Segundo,7,156,113311.0
Entre Ríos,Uruguay,6,156,115516.0
Córdoba,Marcos Juárez,11,155,107286.0
Río Negro,Bariloche,9,153,161443.0
Córdoba,Tercero Arriba,6,153,120207.0
Buenos Aires,San Nicolás,2,153,166657.0
Tucumán,Cruz Alta,4,152,227688.0
Chaco,Libertador General San Martín,6,150,65304.0
Salta,General José de San Martín,5,148,177448.0
San Juan,Capital,16,147,114849.0
Misiones,Iguazú,3,146,99838.0
Buenos Aires,Pergamino,4,145,114988.0
Mendoza,Capital,3,139,123715.0
Buenos Aires,Luján,5,138,110111.0
Buenos Aires,Ezeiza,2,138,198620.0
Santa Fe,Vera,8,137,55463.0
Entre Ríos,La Paz,3,137,75271.0
Chaco,Comandante Fernández,2,137,101086.0
Córdoba,Cruz del Eje,1,137,64748.0
Chubut,Rawson,14,136,144420.0
Buenos Aires,Hurlingham,2,136,185361.0
Córdoba,Río Primero,3,133,58181.0
Buenos Aires,Ituzaingó,1,133,177983.0
Misiones,Eldorado,1,132,91133.0
Entre Ríos,Villaguay,3,131,55284.0
Misiones,Leandro N. Alem,1,131,49391.0
Misiones,25 de Mayo,2,129,30877.0
La Pampa,Capital,8,128,118504.0
Misiones,San Pedro,1,126,34690.0
Córdoba,Calamuchita,6,125,75462.0
Catamarca,Belén,5,125,30353.0
Santa Fe,San Lorenzo,7,124,193786.0
Mendoza,Maipú,3,124,218887.0
Formosa,Bermejo,0,124,15600.0
Entre Ríos,Nogoyá,4,123,42954.0
Santiago del Estero,Río Hondo,4,123,66637.0
Santa Fe,San Jerónimo,8,122,84617.0
Buenos Aires,Necochea,5,122,101483.0
Buenos Aires,Campana,1,122,107976.0
Buenos Aires,Zárate,1,122,131415.0
Buenos Aires,Junín,8,121,100964.0
Mendoza,Godoy Cruz,3,121,194557.0
Salta,Rivadavia,1,121,38062.0
Buenos Aires,Azul,3,118,75152.0
Catamarca,Capital,4,117,186466.0
San Luis,General Pedernera,10,113,148671.0
Entre Ríos,Federación,4,111,78264.0
Mendoza,Las Heras,6,110,233839.0
Santiago del Estero,Pellegrini,0,110,26193.0
Santa Cruz,Güer Aike,8,109,137309.0
Misiones,Libertador General San Martín,2,109,52166.0
San Juan,Rawson,8,108,136582.0
Salta,Orán,4,108,159715.0
Córdoba,San Javier,5,107,62700.0
Formosa,Ramón Lista,0,107,17678.0
Córdoba,Juárez Celman,3,105,68317.0
Buenos Aires,Chivilcoy,1,104,70554.0
Santa Cruz,Deseado,7,103,126266.0
Córdoba,San Alberto,2,103,42029.0
Santa Fe,Iriondo,12,102,73636.0
Buenos Aires,Trenque Lauquen,2,102,49128.0
Santiago del Estero,Copo,2,102,35653.0
Santiago del Estero,Figueroa,0,102,20246.0
Mendoza,San Martín,4,101,139406.0
Tucumán,Leales,3,101,66352.0
Buenos Aires,General Rodríguez,1,101,142315.0
Santa Fe,9 de Julio,3,100,30942.0
Buenos Aires,Mercedes,1,100,71002.0
Santiago del Estero,Moreno,0,100,40352.0
Tucumán,Tafí Viejo,4,98,172877.0
Buenos Aires,Tres Arroyos,10,97,61889.0
Buenos Aires,25 de Mayo,1,97,35411.0
Corrientes,Esquina,1,97,39168.0
Buenos Aires,Cañuelas,2,96,70542.0
Buenos Aires,San Pedro,2,96,68353.0
Santa Fe,San Martín,12,95,67299.0
Catamarca,La Paz,2,95,26341.0
Jujuy,San Pedro,6,92,88237.0
Chaco,Almirante Brown,0,92,37794.0
Mendoza,Luján de Cuyo,6,91,171883.0
Entre Ríos,Diamante,3,90,52312.0
Buenos Aires,9 de Julio,2,90,52366.0
Buenos Aires,Lincoln,7,89,45191.0
Santa Fe,Constitución,17,88,93000.0
Santa Fe,Caseros,10,88,86261.0
Buenos Aires,Chacabuco,2,88,52409.0
Catamarca,Santa María,2,86,26822.0
Catamarca,Tinogasta,1,86,25254.0
Entre Ríos,Colón,6,85,74890.0
Río Negro,Adolfo Alsina,5,85,63845.0
Jujuy,El Carmen,4,85,122259.0
Santiago del Estero,Choya,2,85,43692.0
Buenos Aires,Balcarce,1,85,48516.0
Tucumán,Burruyacú,0,85,45459.0
Buenos Aires,Coronel Suárez,3,84,41713.0
Entre Ríos,Victoria,0,84,40301.0
Santa Fe,San Justo,6,83,46486.0
Buenos Aires,Bolívar,4,82,37194.0
Chaco,Mayor Luis J. Fontana,3,82,59798.0
Chaco,Quitilipi,3,82,32430.0
Corrientes,Santo Tomé,2,82,71922.0
Santiago del Estero,Alberdi,1,82,20104.0
Santiago del Estero,Avellaneda,3,81,25462.0
Corrientes,Curuzú Cuatiá,2,81,51489.0
Entre Ríos,Gualeguay,2,81,56796.0
Santiago del Estero,Loreto,1,81,24047.0
Buenos Aires,Pehuajó,4,80,44594.0
Formosa,Pilagás,0,80,19089.0
San Juan,Rivadavia,8,79,101334.0
Buenos Aires,General Villegas,5,78,35055.0
Buenos Aires,Lobos,4,78,41418.0
Buenos Aires,Chascomús,0,78,42191.0
Santiago del Estero,Robles,4,77,53879.0
Buenos Aires,San Vicente,2,77,97929.0
Entre Ríos,Federal,2,77,29436.0
Buenos Aires,Berisso,7,76,100685.0
Salta,Anta,5,76,69442.0
Santiago del Estero,General Taboada,3,75,46304.0
Buenos Aires,Saladillo,1,75,35423.0
Corrientes,Bella Vista,1,75,44369.0
Buenos Aires,Baradero,3,74,39223.0
Misiones,Apóstoles,1,74,50503.0
San Juan,Jáchal,1,74,25269.0
Tucumán,Chicligasta,1,74,92308.0
Chaco,Maipú,0,74,26354.0
Chubut,Biedma,7,73,102806.0
Corrientes,Lavalle,1,73,40406.0
Santiago del Estero,Jiménez,1,73,18622.0
Tucumán,Simoca,0,73,36946.0
Tierra del Fuego,Río Grande,7,72,104949.0
San Luis,Ayacucho,3,72,23653.0
Buenos Aires,San Andrés de Giles,1,71,26399.0
Buenos Aires,La Costa,6,70,100400.0
Buenos Aires,Villarino,4,70,32552.0
Córdoba,Ischilín,2,70,36023.0
Buenos Aires,Coronel de Marina Leonardo Rosales,4,69,65823.0
Mendoza,Lavalle,3,68,47086.0
Santiago del Estero,Juan Felipe Ibarra,1,68,20567.0
Córdoba,General Roca,5,67,36064.0
Jujuy,Ledesma,4,67,94132.0
Buenos Aires,Ayacucho,1,67,21757.0
San Juan,Pocito,1,67,72879.0
Tucumán,Monteros,5,66,77469.0
Catamarca,Capayán,4,66,19471.0
Misiones,Montecarlo,4,66,38620.0
Córdoba,Presidente Roque Sáenz Peña,3,66,37551.0
Entre Ríos,Tala,2,66,31091.0
San Juan,Chimbas,2,66,103772.0
Tucumán,Yerba Buena,1,66,102589.0
Corrientes,Mercedes,5,65,49807.0
Buenos Aires,Patagones,1,65,37499.0
Buenos Aires,Las Flores,1,64,27136.0
Buenos Aires,Marcos Paz,1,63,64761.0
Tucumán,Lules,0,63,93464.0
Corrientes,Monte Caseros,7,62,45602.0
La Pampa,Maracó,6,62,69067.0
Chaco,9 de Julio,4,62,30223.0
Mendoza,General Alvear,4,62,52379.0
La Rioja,Chilecito,3,62,58681.0
Chubut,Futaleufú,2,62,49965.0
San Juan,Caucete,1,62,44017.0
